block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
a_356088331,0,4399,0,1,202 Flamingo Westbound,12735,13_merged_357925059,357900453,
a_356088347,0,4399,0,1,202 Flamingo Westbound,12735,13_merged_357925059,357900450,
a_356088351,0,4399,0,1,202 Flamingo Westbound,12735,13_merged_357925059,357900451,
a_356088345,0,4399,0,1,202 Flamingo Westbound,12735,13_merged_357925059,357900456,
a_356088350,0,4399,0,1,202 Flamingo Westbound,12735,13_merged_357925059,357900457,
a_356087701,0,4406,0,1,212 Sunset Westbound,12789,3_merged_357925057,357891059,
a_356087703,0,4406,0,1,212 Sunset Westbound,12789,3_merged_357925057,357891058,
a_356087702,0,4406,0,1,212 Sunset Westbound,12789,3_merged_357925057,357891057,
a_356087702,0,4406,0,0,212 Sunset Eastbound,12783,3_merged_357925057,357891056,
a_356087504,0,4406,0,0,212 Sunset Eastbound,12784,3_merged_357925057,357891055,
a_356087704,0,4406,0,0,212 Sunset Eastbound,12784,3_merged_357925057,357891054,
a_356087702,0,4406,0,0,212 Sunset Eastbound,12784,3_merged_357925057,357891053,
a_356087504,0,4406,0,0,212 Sunset Eastbound,12784,3_merged_357925057,357891052,
a_356087704,0,4406,0,0,212 Sunset Eastbound,12784,3_merged_357925057,357891051,
a_356087702,0,4406,0,0,212 Sunset Eastbound,12784,3_merged_357925057,357891050,
a_356088070,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896881,
a_356088073,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896880,
a_356088056,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896883,
a_356088076,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896882,
a_356088072,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896885,
a_356088065,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896884,
a_356088074,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896887,
a_356088078,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896886,
a_356088073,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896889,
a_356088060,0,4414,0,0,Deuce on The Strip Northbound,12830,4_merged_357925060,357896888,
a_356087962,0,4385,0,0,105 Martin L. King Northbound,12659,4_merged_357925060,357897433,
a_356088134,0,4385,0,0,105 Martin L. King Northbound,12659,4_merged_357925060,357897432,
a_356087056,0,4385,0,0,105 Martin L. King Northbound,12659,4_merged_357925060,357897431,
a_356088290,0,4416,0,0,BHX-B Boulder Hwy Express Northbound,12835,13_merged_357925059,357899688,
